Hydro (% electricity),Electricity from hydro (TWh)_x,Electricity from hydro (TWh)_y,Renewables (% electricity),Solar (% electricity),Electricity from solar (TWh)_y,Wind (% electricity),Electricity from solar (TWh)_x,Electricity from wind (TWh)_x,Other renewables including bioenergy (TWh),Electricity from wind (TWh)_y,Year,Entity
69.908104,41.84,41.84,72.58146,0,0,0.116959065,0,0.07,1.53,0.07,2000,Austria
66.26269,40.46,40.46,69.17786,0.016377334,0.01,0.16377333,0.01,0.1,1.67,0.1,2001,Austria
66.2877,40.23,40.23,69.03938,0.016477179,0.01,0.23068051,0.01,0.14,1.52,0.14,2002,Austria
57.199448,33.21,33.21,60.695835,0.017223561,0.01,0.63727176,0.01,0.37,1.65,0.37,2003,Austria
59.357334,36.76,36.76,63.975456,0.032294527,0.02,1.5016955,0.02,0.93,1.91,0.93,2004,Austria
57.528297,37.1,37.1,63.389675,0.031012561,0.02,2.0623353,0.02,1.33,2.43,1.33,2005,Austria
57.25755,35.66,35.66,65.285805,0.032113038,0.02,2.809891,0.02,1.75,3.23,1.75,2006,Austria
58.893658,37.05,37.05,68.62184,0.03179145,0.02,3.2427278,0.02,2.04,4.06,2.04,2007,Austria
59.42636,38.33,38.33,69.03876,0.046511628,0.03,3.1162791,0.03,2.01,4.16,2.01,2008,Austria
61.689293,40.9,40.9,71.161385,0.07541478,0.05,2.9411764,0.05,1.95,4.28,1.95,2009,Austria
56.486523,38.36,38.36,66.24944,0.13252833,0.09,3.0334265,0.09,2.06,4.48,2.06,2010,Austria
54.995186,34.24,34.24,65.70832,0.27304852,0.17,3.1159654,0.17,1.94,4.56,1.94,2011,Austria
63.828243,43.85,43.85,74.71616,0.4949054,0.34,3.5807862,0.34,2.46,4.68,2.46,2012,Austria
65.05651,42.02,42.02,78.185486,0.9753832,0.63,4.8769164,0.63,3.15,4.7,3.15,2013,Austria
66.55307,41.01,41.01,81.46706,1.2820513,0.79,6.2479715,0.79,3.85,4.55,3.85,2014,Austria
60.08084,37.16,37.16,76.94422,1.519806,0.94,7.825384,0.94,4.84,4.65,4.84,2015,Austria
61.256706,39.97,39.97,78.28352,1.6858238,1.1,8.015326,1.1,5.23,4.78,5.23,2016,Austria
56.79324,38.29,38.29,75.719376,1.8837141,1.27,9.744884,1.27,6.57,4.92,6.57,2017,Austria
57.872078,37.64,37.64,76.96802,2.2447724,1.46,9.271217,1.46,6.03,4.93,6.03,2018,Austria
57.620663,40.83,40.83,77.109795,2.3990967,1.7,10.513689,1.7,7.45,4.66,7.45,2019,Austria
60.70241,42,42,80.098274,2.948403,2.04,9.813557,2.04,6.79,4.59,6.79,2020,Austria
57.879017,38.75,38.75,78.790146,4.152353,2.78,10.067215,2.78,6.74,4.48,6.74,2021,Austria
55.75823,36.07,36.07,76.2869,4.2201266,2.73,10.712629,2.73,6.93,3.62,6.93,2022,Austria
